Charity Name,URL
A,https://www.charitynavigator.org/discover-charities/a-to-z-directory.html
1 for the Planet Inc.,https://www.charitynavigator.org/ein/912151932
"10,000 Degrees",https://www.charitynavigator.org/ein/953667812
100 Black Men of America,https://www.charitynavigator.org/ein/581974429
100 Club of Arizona,https://www.charitynavigator.org/ein/237172077
1000 Friends of Florida,https://www.charitynavigator.org/ein/592761163
15 and the Mahomies Foundation,https://www.charitynavigator.org/ein/834134118
314ACTION,https://www.charitynavigator.org/ein/813165165
350.org,https://www.charitynavigator.org/ein/261150699
4 Paws for Ability,https://www.charitynavigator.org/ein/311625484
40 Days for Life,https://www.charitynavigator.org/ein/260308665
60 Plus Foundation Inc.,https://www.charitynavigator.org/ein/455076466
826 Valencia,https://www.charitynavigator.org/ein/043694151
Back to top,https://www.charitynavigator.org/discover-charities/a-to-z-directory/#top
#,https://www.charitynavigator.org/discover-charities/a-to-z-directory/charities-starting-with-numeric-character.html
B Strong Fund Inc.,https://www.charitynavigator.org/ein/850807163
Baby Rhino Rescue,https://www.charitynavigator.org/ein/474253959
Baby2baby,https://www.charitynavigator.org/ein/464503539
Back on My Feet,https://www.charitynavigator.org/ein/262109809
Bail Project Inc.,https://www.charitynavigator.org/ein/814985512
Baitulmaal AHED,https://www.charitynavigator.org/ein/200942434
Barbells for Boobs,https://www.charitynavigator.org/ein/272027629
Barnabas Aid,https://www.charitynavigator.org/ein/161711227
Bat Conservation International,https://www.charitynavigator.org/ein/742553144
Bay Area Rescue Mission,https://www.charitynavigator.org/ein/946124054
Bbb Wise Giving Alliance,https://www.charitynavigator.org/ein/521070270
Be Strong International Inc.,https://www.charitynavigator.org/ein/651054347
Be The Match Foundation,https://www.charitynavigator.org/ein/411704734
Beagle Freedom Project,https://www.charitynavigator.org/ein/550882647
Beau Biden Foundation for the Protection of Children Inc.,https://www.charitynavigator.org/ein/474507397
Beethoven A Nonprofit Corporation,https://www.charitynavigator.org/ein/911649215
Behind the Badge Foundation,https://www.charitynavigator.org/ein/911700108
Bernie's Book Bank,https://www.charitynavigator.org/ein/270914453
Best Buddies International,https://www.charitynavigator.org/ein/521614576
Best Friends Animal Society,https://www.charitynavigator.org/ein/237147797
Better World Fund,https://www.charitynavigator.org/ein/582366765
Bible League,https://www.charitynavigator.org/ein/362037761
Bible League Foundation,https://www.charitynavigator.org/ein/363258728
Bibles For The World,https://www.charitynavigator.org/ein/362434228
Biblica - The International Bible Society,https://www.charitynavigator.org/ein/841194554
Bideawee,https://www.charitynavigator.org/ein/131655210
Big Brothers Big Sisters of America,https://www.charitynavigator.org/ein/231365190
Big Cat Rescue,https://www.charitynavigator.org/ein/593330495
Big Dog Ranch Rescue Inc.,https://www.charitynavigator.org/ein/263184971
Big Life Foundation USA,https://www.charitynavigator.org/ein/273455389
Big Shoulders Fund,https://www.charitynavigator.org/ein/363490557
Bikers Against Drunk Drivers,https://www.charitynavigator.org/ein/352356317
Bikoff Foundation,https://www.charitynavigator.org/ein/261082338
Bill & Melinda Gates Foundation,https://www.charitynavigator.org/ein/562618866
Billy Graham Evangelistic Association,https://www.charitynavigator.org/ein/452588350
BILLY GRAHAM EVANGELISTIC ASSOCIATION,https://www.charitynavigator.org/ein/363194680
Binaytara Foundation,https://www.charitynavigator.org/ein/261603676
Birthright Israel Foundation,https://www.charitynavigator.org/ein/134092050
Black Girls Code Inc.,https://www.charitynavigator.org/ein/454930539
Black Lives Matter Foundation,https://www.charitynavigator.org/ein/474143254
Black Lives Matter Foundation,https://www.charitynavigator.org/ein/854161819
Black Lives Matter Foundation Inc.,https://www.charitynavigator.org/ein/824862489
Black Lives Matter Movement Inc.,https://www.charitynavigator.org/ein/851494157
Blanchet House of Hospitality,https://www.charitynavigator.org/ein/936031009
Bless Israel,https://www.charitynavigator.org/ein/472311711
Blessings in A Backpack,https://www.charitynavigator.org/ein/261964620
Blexit Foundation Inc.,https://www.charitynavigator.org/ein/833032236
Blinded Veterans Association,https://www.charitynavigator.org/ein/530214281
Blood:Water,https://www.charitynavigator.org/ein/562483082
Blue Mountain Humane Society,https://www.charitynavigator.org/ein/910828499
Blue Ridge Area Food Bank,https://www.charitynavigator.org/ein/521202644
Blue Ridge Humane Society,https://www.charitynavigator.org/ein/566048726
Blue Star Families,https://www.charitynavigator.org/ein/800369895
Blue Star Service Dogs Inc.,https://www.charitynavigator.org/ein/272228933
Bob Woodruff Family Foundation,https://www.charitynavigator.org/ein/261441650
Boca Helping Hands,https://www.charitynavigator.org/ein/311713631
Bondage Breakers Outreach Ministries Inc.,https://www.charitynavigator.org/ein/833082755
Books For Africa,https://www.charitynavigator.org/ein/411627391
Born Free USA,https://www.charitynavigator.org/ein/946187633
Boston Rescue Mission,https://www.charitynavigator.org/ein/042104726
Bottom Line,https://www.charitynavigator.org/ein/043351427
Boulder Crest Foundation,https://www.charitynavigator.org/ein/273228310
Boy Scouts of America,https://www.charitynavigator.org/ein/221576300
Boys & Girls Clubs of America,https://www.charitynavigator.org/ein/135562976
Boys Town,https://www.charitynavigator.org/ein/470376606
BRAC USA,https://www.charitynavigator.org/ein/208456741
Brady,https://www.charitynavigator.org/ein/521285097
BRADY CAMPAIGN TO PREVENT GUN VIOLENCE,https://www.charitynavigator.org/ein/237321017
Braille Institute of America,https://www.charitynavigator.org/ein/951641426
Brain & Behavior Research Foundation,https://www.charitynavigator.org/ein/311020010
